Row Name,Timer,Line
0,1130,3;
1,1987,3;
2,2272,2;
3,2749,2;
4,3034,2;
5,3130,3;
6,3594,4;
7,3891,4;
8,3987,1;
9,4272,4;
10,4844,4;
11,4939,2;
12,5034,4;
13,5130,1;
14,5320,3;
15,5415,1;
16,5606,4;
17,5701,2;
18,6558,2;
19,6844,1;
20,7320,1;
21,7606,1;
22,7701,2;
23,8165,4;
24,8463,4;
25,8558,3;
26,8844,4;
27,9415,4;
28,9510,2;
29,9606,4;
30,9701,1;
31,9891,3;
32,9987,1;
33,10177,4;
34,10272,2;
35,10558,3;
36,10844,4;
37,11130,1;
38,11415,3;
39,11701,2;
40,11880,4;
41,11987,1;
42,12177,2;
43,12272,4;
44,12558,2;
45,12749,1;
46,12844,3;
47,13034,2;
48,13130,4;
49,13415,1;
50,13701,3;
51,13987,4;
52,14082,3;
53,14177,2;
54,14272,1;
55,14463,4;
56,14558,2;
57,14749,3;
58,14844,1;
59,15130,2;
60,15415,4;
61,15701,1;
62,15987,3;
63,16272,2;
64,16463,1;
65,16558,3;
66,16749,1;
67,16844,4;
68,17130,2;
69,17320,4;
70,17415,1;
71,17606,4;
72,17701,2;
73,17987,4;
74,18272,3;
75,18558,1;
76,18653,2;
77,18749,3;
78,18844,4;
79,19130,2;
80,19415,1;
81,19415,4;
82,19558,3;
83,19701,2;
84,19987,4;
85,20272,1;
86,20415,2;
87,20558,3;
88,20844,4;
89,20987,1;
90,21130,4;
91,21272,1;
92,21415,3;
93,21558,4;
94,21701,2;
95,21987,3;
96,22272,1;
97,22558,2;
98,22701,3;
99,22844,4;
100,23130,2;
101,23415,1;
102,23701,3;
103,23987,4;
104,24130,2;
105,24272,3;
106,24558,1;
107,24844,4;
108,24987,2;
109,25130,1;
110,25415,3;
111,25558,2;
112,25701,3;
113,25844,2;
114,25987,1;
115,26130,3;
116,26272,4;
117,26558,1;
118,26844,4;
119,26987,3;
120,27130,2;
121,27272,3;
122,27415,4;
123,27701,2;
124,27987,1;
125,28272,3;
126,28558,1;
127,28558,4;
128,28844,2;
129,28987,3;
130,29130,4;
131,29415,1;
132,29558,3;
133,29701,2;
134,29987,4;
135,30130,3;
136,30272,2;
137,30558,1;
138,30701,3;
139,30844,4;
140,31130,2;
141,31272,4;
142,31415,1;
143,31701,3;
144,31844,2;
145,31987,1;
146,32272,4;
147,32415,2;
148,32558,3;
149,32844,2;
150,33130,1;
151,33130,4;
152,33272,3;
153,33415,2;
154,33558,1;
155,33701,4;
156,33844,2;
157,33987,1;
158,34130,3;
159,34272,1;
160,34272,4;
161,34415,2;
162,34558,3;
163,34701,1;
164,34844,2;
165,34987,4;
166,35130,2;
167,35272,3;
168,35415,4;
169,35558,1;
170,35701,4;
171,35844,1;
172,35987,4;
173,36058,3;
174,36130,1;
175,36201,2;
176,36272,4;
177,36344,3;
178,36415,1;
179,36487,2;
180,37415,3;
181,37558,2;
182,37701,1;
183,37701,4;
184,37844,3;
185,37987,2;
186,38272,4;
187,38415,1;
188,38558,3;
189,38701,2;
190,38844,4;
191,39130,2;
192,39272,3;
193,39415,2;
194,39558,3;
195,39701,1;
196,39844,2;
197,39987,4;
198,40272,3;
199,40558,2;
200,40701,4;
201,40844,1;
202,40987,2;
203,41130,3;
204,41415,1;
205,41701,4;
206,41844,2;
207,41987,1;
208,42130,3;
209,42272,4;
210,42415,2;
211,42558,3;
212,42844,1;
213,42987,3;
214,43130,4;
215,43272,2;
216,43415,3;
217,43701,3;
218,43844,2;
219,43987,3;
220,44130,2;
221,44272,1;
222,44415,3;
223,44558,4;
224,44844,1;
225,45130,4;
226,45272,3;
227,45415,2;
228,45558,3;
229,45701,1;
230,45987,4;
231,46272,2;
232,46415,1;
233,46558,3;
234,46701,4;
235,46844,2;
236,46844,1;
237,46987,3;
238,47130,1;
239,47415,4;
240,47558,1;
241,47701,2;
242,47844,3;
243,47987,1;
244,48272,3;
245,48415,2;
246,48558,3;
247,48701,2;
248,48844,1;
249,48987,4;
250,49130,2;
251,49415,3;
252,49701,2;
253,49844,4;
254,49987,1;
255,50130,2;
256,50272,3;
257,50558,4;
258,50844,3;
259,50987,1;
260,51130,2;
261,51272,3;
262,51415,4;
263,51558,2;
264,51701,1;
265,51987,3;
266,52130,1;
267,52272,4;
268,52415,2;
269,52558,3;
270,52844,2;
271,52987,3;
272,53130,2;
273,53272,3;
274,53415,4;
275,53558,1;
276,53701,3;
277,53987,2;
278,54272,1;
279,54415,4;
280,54558,2;
281,54701,3;
282,54844,4;
283,55130,2;
284,55415,1;
285,55558,3;
286,55701,2;
287,55844,4;
288,55987,1;
289,56272,4;
290,56415,2;
291,56558,4;
292,56701,2;
293,56844,4;
294,56987,2;
295,57415,3;
296,57558,1;
297,57701,3;
298,57844,1;
299,57987,3;
300,58130,1;
301,58272,2;
302,58272,4;
303,58558,3;
304,58844,1;
305,58987,4;
306,59130,2;
307,59272,3;
308,59415,4;
309,59558,1;
310,59701,2;
311,59987,1;
312,60130,3;
313,60272,2;
314,60415,1;
315,60558,4;
316,60844,3;
317,60987,1;
318,61130,3;
319,61272,1;
320,61415,3;
321,61558,1;
322,61701,2;
323,61987,4;
324,62130,2;
325,62272,4;
326,62415,2;
327,62558,4;
328,62701,3;
329,62844,1;
330,63130,4;
331,63415,2;
332,63558,1;
333,63701,3;
334,63844,4;
335,63987,1;
336,64130,2;
337,64272,3;
338,64415,2;
339,64558,1;
340,64701,4;
341,64844,2;
342,64987,4;
343,65130,3;
344,65130,1;
345,65415,2;
346,65558,3;
347,65701,2;
348,65844,3;
349,65987,2;
350,66130,3;
351,66272,4;
352,66558,1;
353,66701,4;
354,66844,1;
355,66987,4;
356,67130,1;
357,67272,4;
358,67415,3;
359,67701,2;
360,67987,1;
361,68130,4;
362,68272,2;
363,68415,3;
364,68558,4;
365,68701,1;
366,68844,3;
367,69130,2;
368,69272,1;
369,69415,3;
370,69558,2;
371,69701,4;
372,69987,3;
373,70130,1;
374,70272,3;
375,70415,1;
376,70558,3;
377,70701,1;
378,70844,2;
379,70987,4;
380,71130,3;
381,71272,1;
382,71415,3;
383,71558,4;
384,71701,2;
385,71844,1;
386,71987,3;
387,72272,2;
388,72558,1;
389,72701,4;
390,72844,2;
391,72987,3;
392,73130,1;
393,73272,3;
394,73415,4;
395,73558,2;
396,73701,1;
397,73844,3;
398,73987,2;
399,74130,3;
400,74272,1;
401,74701,2;
402,74844,3;
403,75272,3;
404,75415,2;
405,75844,3;
406,75987,2;
407,76272,1;
408,76415,3;
409,76558,4;
410,76987,3;
411,77130,4;
412,77558,3;
413,77701,4;
414,78130,2;
415,78272,4;
416,78558,3;
417,78701,2;
418,78844,1;
419,79272,4;
420,79415,1;
421,79844,4;
422,79987,2;
423,80415,3;
424,80558,2;
425,80844,4;
426,80987,3;
427,81130,1;
428,81558,2;
429,81701,1;
430,82130,2;
431,82272,1;
432,82701,3;
433,82844,1;
434,83130,4;
435,83272,3;
436,83415,2;
437,83558,3;
438,83701,4;
439,83987,1;
440,84272,2;
441,84415,3;
442,84558,4;
443,84844,2;
444,84987,3;
445,85130,2;
446,85272,3;
447,85415,1;
448,85558,2;
449,85701,4;
450,85987,2;
451,86272,1;
452,86558,2;
453,86701,3;
454,86844,4;
455,87130,2;
456,87415,1;
457,87701,2;
458,87987,4;
459,88130,2;
460,88272,3;
461,88844,4;
462,88987,2;
463,89130,1;
464,89415,4;
465,89558,2;
466,89701,4;
467,89844,2;
468,89987,3;
469,90130,2;
470,90272,1;
471,90558,4;
472,90844,2;
473,91130,3;
474,91272,4;
475,91415,1;
476,91701,4;
477,91987,3;
478,92272,4;
479,92558,2;
480,92558,1;
481,92701,4;
482,92844,3;
483,92987,2;
484,93130,1;
485,93415,2;
486,93558,4;
487,93701,3;
488,93987,2;
489,94130,4;
490,94272,2;
491,94415,4;
492,94558,2;
493,94701,3;
494,94844,1;
495,95130,4;
496,95272,2;
497,95415,1;
498,95558,4;
499,95701,2;
500,95844,3;
501,95987,1;
502,96272,4;
503,96415,3;
504,96558,2;
505,96844,1;
506,96987,3;
507,97130,2;
508,97272,3;
509,97415,4;
510,97558,1;
511,97701,3;
512,97844,4;
513,97987,1;
514,98130,2;
515,98272,4;
516,98415,3;
517,98558,1;
518,98701,4;
519,98844,2;
520,98987,1;
521,99130,3;
522,99272,2;
523,99415,1;
524,99558,3;
525,99701,4;
526,99844,1;
527,99987,2;
528,100130,3;
529,100272,4;
530,100415,1;
531,100558,2;
532,100701,4;
533,100844,1;
534,100987,3;
535,101058,2;
536,101130,1;
537,101272,3;
538,101415,2;
539,101558,4;
540,101701,2;
541,101701,1;
542,101844,3;
543,101987,1;
544,102272,4;
545,102415,1;
546,102558,2;
547,102701,3;
548,102844,1;
549,103130,3;
550,103272,2;
551,103415,3;
552,103558,2;
553,103701,1;
554,103844,3;
555,103987,4;
556,104272,3;
557,104558,2;
558,104701,1;
559,104844,3;
560,104987,4;
561,105130,1;
562,105415,3;
563,105701,2;
564,105844,4;
565,105987,3;
566,106130,1;
567,106272,4;
568,106415,2;
569,106558,3;
570,106844,1;
571,106987,3;
572,107130,4;
573,107272,2;
574,107415,3;
575,107701,2;
576,107844,4;
577,107987,2;
578,108130,4;
579,108272,1;
580,108415,2;
581,108558,3;
582,108844,1;
583,109130,4;
584,109272,3;
585,109415,2;
586,109558,3;
587,109701,4;
588,109987,2;
589,110272,1;
590,110415,3;
591,110558,2;
592,110701,3;
593,110844,1;
594,110844,4;
595,110987,2;
596,111130,3;
597,111415,1;
598,111558,3;
599,111701,4;
600,111844,2;
601,111987,3;
602,112272,2;
603,112415,3;
604,112558,2;
605,112701,3;
606,112844,1;
607,112987,4;
608,113130,2;
609,113415,3;
610,113701,2;
611,113844,4;
612,113987,1;
613,114130,2;
614,114272,3;
615,114558,4;
616,114844,2;
617,114987,3;
618,115130,1;
619,115272,4;
620,115415,1;
621,115558,3;
622,115701,4;
623,115987,2;
624,116130,4;
625,116272,1;
626,116415,3;
627,116558,4;
628,116844,1;
629,116987,3;
630,117130,1;
631,117272,2;
632,117415,3;
633,117558,4;
634,117701,2;
635,117987,3;
636,118272,2;
637,118415,1;
638,118558,3;
639,118701,4;
640,118844,1;
641,119130,3;
642,119415,2;
643,119558,4;
644,119701,3;
645,119844,1;
646,119987,2;
647,119987,4;
648,120272,3;
649,120415,2;
650,120558,3;
651,120701,2;
652,120844,3;
653,120987,2;
654,121130,1;
655,121415,4;
656,121558,1;
657,121701,4;
658,121844,1;
659,121987,4;
660,122130,1;
661,122272,3;
662,122415,2;
663,122558,1;
664,122701,4;
665,122844,2;
666,122987,3;
667,123130,4;
668,123415,1;
669,123701,3;
670,123844,2;
671,123987,4;
672,124130,3;
673,124272,1;
674,124415,2;
675,124558,3;
676,124844,4;
677,124987,2;
678,125130,4;
679,125272,2;
680,125415,4;
681,125558,2;
682,125701,3;
683,125987,1;
684,126130,4;
685,126272,1;
686,126415,4;
687,126558,1;
688,126701,2;
689,126844,3;
690,126987,2;
691,127130,3;
692,127272,4;
693,127415,2;
694,127558,1;
695,127701,3;
696,127987,2;
697,128272,4;
698,128415,1;
699,128558,3;
700,128701,2;
701,128844,3;
702,128987,4;
703,129130,2;
704,129130,1;
705,129272,3;
706,129415,2;
707,129558,3;
708,129701,4;
709,129844,2;
710,129987,1;
711,130130,3;
712,130272,4;
713,130415,2;
714,130558,1;
715,130701,3;
716,130844,4;
717,130987,2;
718,131130,1;
719,131272,3;
720,131415,2;
721,131558,1;
722,131701,4;
723,131844,3;
724,131987,1;
725,132130,4;
726,132272,2;
727,132415,1;
728,132558,3;
729,132701,4;
730,132844,2;
731,132987,3;
732,133130,4;
733,133272,1;
734,133415,2;
735,133558,4;
736,133701,3;
737,133844,2;
738,133987,3;
739,134136,4;
740,134286,1;
741,134443,3;
742,134600,2;
743,134765,1;
744,134930,4;
745,135104,2;
746,135278,3;
747,135462,4;
748,135647,1;
749,135843,3;
750,136039,2;
751,136248,1;
