Row Name,Timer,Line
0,610,1
1,610,4
2,1853,3
3,3097,2
4,4340,1
5,5584,4
6,6827,3
7,8071,2
8,11801,3
9,11801,4
10,12112,1
11,12734,3
12,13356,2
13,13977,4
14,14599,3
15,15221,2
16,15843,1
17,16464,4
18,16775,1
19,16775,2
20,17086,4
21,17708,2
22,18330,3
23,18951,1
24,19573,2
25,20195,3
26,20817,4
27,21439,1
28,21749,3
29,21749,4
30,22216,2
31,22682,3
32,23148,2
33,23615,4
34,23926,3
35,24236,2
36,24703,3
37,25169,2
38,25635,3
39,26102,1
40,26413,2
41,26723,3
42,26723,4
43,27034,1
44,27656,2
45,28278,4
46,28900,3
47,29521,2
48,30143,1
49,30765,3
50,31387,2
51,31698,3
52,31698,4
53,32008,1
54,32630,2
55,33252,3
56,33874,4
57,34496,2
58,35117,1
59,35739,3
60,36361,2
61,36672,3
62,36672,4
63,36983,1
64,37604,3
65,38226,2
66,38848,4
67,39470,3
68,40091,2
69,40713,1
70,41335,4
71,41646,2
72,41646,1
73,41957,4
74,42578,2
75,43200,3
76,43822,1
77,44444,2
78,45065,3
79,45376,2
80,45376,1
81,45687,4
82,45998,3
83,45998,1
84,46309,2
85,46620,3
86,46620,4
87,47086,1
88,47553,4
89,48019,1
90,48485,4
91,48796,3
92,49107,2
93,49573,4
94,50040,2
95,50506,4
96,50972,1
97,51283,2
98,51594,3
99,52060,1
100,52527,3
101,52993,1
102,53459,3
103,53770,2
104,54081,1
105,54547,4
106,55014,1
107,55480,4
108,55946,1
109,56568,3
110,56568,4
111,57034,2
112,57501,3
113,57967,2
114,58433,3
115,58744,2
116,59055,1
117,59521,4
118,59988,1
119,60454,4
120,60920,1
121,61231,2
122,61542,3
123,62008,1
124,62475,3
125,62941,1
126,63407,3
127,63718,2
128,64029,1
129,64651,4
130,65273,1
131,65584,4
132,66516,1
133,66516,2
134,67760,3
135,69003,2
136,70247,1
137,71490,4
138,72734,2
139,73977,3
140,75221,4
141,76464,1
142,76464,2
143,77708,4
144,78951,3
145,80195,2
146,81439,1
147,82682,3
148,83926,2
149,85169,4
150,86413,1
151,87656,3
152,88900,2
153,92008,1
154,92319,2
155,92630,3
156,92630,4
157,92942,1
158,93564,2
159,94186,4
160,94808,3
161,95429,2
162,96051,1
163,96673,3
164,97295,2
165,97606,3
166,97606,4
167,97916,1
168,98538,2
169,99160,3
170,99782,4
171,100404,2
172,101025,1
173,101647,3
174,102269,2
175,102580,3
176,102580,4
177,103200,1
178,103822,4
179,104444,2
180,104755,3
181,105065,2
182,105065,1
183,105378,3
184,105999,2
185,106621,1
186,107243,4
187,107554,2
188,107554,1
189,107865,4
190,108486,2
191,109108,3
192,109730,1
193,110352,2
194,110973,3
195,111284,2
196,111284,1
197,111595,4
198,111906,3
199,111906,1
200,112217,2
201,112528,3
202,112528,4
203,112838,1
204,113460,3
205,114082,2
206,114703,4
207,115325,3
208,115947,2
209,116569,1
210,117190,4
211,117501,1
212,117501,2
213,117812,4
214,118434,2
215,119056,3
216,119677,1
217,120299,2
218,120921,3
219,121543,4
220,122165,1
221,122475,3
222,122475,4
223,122942,2
224,123408,3
225,123874,2
226,124340,3
227,124651,2
228,124962,1
229,125428,4
230,125894,1
231,126361,4
232,126827,1
233,127139,2
234,127760,4
235,127760,1
