Row Name,Timer,Line
0,13,3
1,124,2
2,235,1
3,346,4
4,457,1
5,568,2
6,679,3
7,790,1
8,901,3
9,1013,2
10,1124,1
11,1235,4
12,1346,1
13,1457,2
14,1568,3
15,1679,4
16,1790,1
17,1901,2
18,2013,3
19,2124,1
20,2235,3
21,2346,2
22,2457,1
23,2568,4
24,2679,1
25,2790,2
26,2901,3
27,3013,1
28,3124,3
29,3235,2
30,3346,1
31,3457,4
32,3568,2
33,3679,3
34,3790,4
35,3901,2
36,4013,4
37,4124,3
38,4235,2
39,4346,4
40,4457,2
41,4568,3
42,4679,4
43,4790,1
44,4901,4
45,5012,3
46,5124,2
47,5235,1
48,5346,4
49,5457,3
50,5568,2
51,5679,4
52,5790,2
53,5901,3
54,6013,4
55,6124,2
56,6235,4
57,6346,3
58,6457,2
59,6568,4
60,6679,2
61,6790,3
62,6901,4
63,7013,1
64,7124,2
65,7124,3
66,7235,1
67,7346,2
68,7457,1
69,7568,4
70,7568,2
71,7679,3
72,7790,4
73,7901,3
74,8012,1
75,8013,4
76,8124,2
77,8235,3
78,8346,4
79,8457,2
80,8457,1
81,8568,4
82,8679,3
83,8790,2
84,8901,4
85,8901,1
86,9012,3
87,9124,4
88,9235,3
89,9346,1
90,9346,4
91,9457,2
92,9568,1
93,9679,2
94,9790,1
95,9790,4
96,9901,3
97,10012,2
98,10124,1
99,10235,4
100,10235,3
101,10346,1
102,10457,2
103,10568,3
104,10679,4
105,10679,1
106,10790,2
107,10901,3
108,11013,2
109,11124,1
110,11124,3
111,11235,4
112,11346,1
113,11457,4
114,11568,2
115,11568,3
116,11679,1
117,11790,4
118,11901,3
119,12013,2
120,12013,1
121,12124,4
122,12235,1
123,12346,2
124,12457,4
125,12457,3
126,12568,2
127,12679,4
128,12790,2
129,12901,4
130,12901,3
131,13012,1
132,13124,3
133,13235,1
134,13346,2
135,13346,4
136,13457,3
137,13568,4
138,13679,1
139,13790,2
140,13790,4
141,13901,1
142,14012,4
143,14124,3
144,14235,2
145,14235,4
146,14235,1
147,14346,3
148,14457,2
149,14568,1
150,14679,4
151,14790,3
152,14901,2
153,15013,4
154,15124,1
155,15235,2
156,15346,3
157,15457,2
158,15568,4
159,15679,3
160,15790,2
161,15901,3
162,16012,1
163,16124,2
164,16235,4
165,16346,1
166,16457,4
167,16568,3
168,16679,1
169,16790,4
170,16901,1
171,17012,2
172,17124,4
173,17235,1
174,17346,4
175,17457,3
176,17568,1
177,17679,4
178,17790,2
179,17901,3
180,18013,1
181,18124,4
182,18235,2
183,18346,3
184,18457,1
185,18568,4
186,18679,2
187,18790,3
188,18901,4
189,19013,1
190,19124,3
191,19235,2
192,19346,1
193,19457,4
194,19568,1
195,19679,2
196,19790,3
197,19901,2
198,20012,4
199,20124,3
200,20235,2
201,20346,3
202,20457,1
203,20568,2
204,20679,4
205,20790,1
206,20901,4
207,21013,3
208,21124,1
209,21235,4
210,21346,1
211,21346,2
212,21457,3
213,21568,2
214,21679,1
215,21790,4
216,21901,2
217,22013,3
218,22124,4
219,22235,1
220,22346,4
221,22457,1
222,22568,2
223,22679,4
224,22790,1
225,22901,4
226,23012,3
227,23124,1
228,23235,3
229,23346,1
230,23457,2
231,23568,4
232,23679,2
233,23790,4
234,23901,3
235,24012,1
236,24124,4
237,24235,1
238,24346,2
239,24457,4
240,24568,1
241,24679,4
242,24790,3
243,24901,1
244,25012,2
245,25124,4
246,25235,1
247,25346,4
248,25457,3
249,25568,1
250,25679,4
251,25790,2
252,25901,3
253,26012,1
254,26124,2
255,26235,3
256,26346,2
257,26457,4
258,26568,3
259,26679,1
260,26790,2
261,26901,3
262,27013,1
263,27124,4
264,27235,3
265,27346,2
266,27457,4
267,27568,1
268,27679,3
269,27790,4
270,27901,2
271,28013,4
272,28124,2
273,28235,1
274,28346,3
275,32013,2
276,32013,3
277,32013,4
278,32124,1
279,32235,4
280,32235,3
281,32346,1
282,32457,2
283,32457,3
284,32568,4
285,32679,2
286,32679,1
287,32790,3
288,32901,1
289,32901,4
290,33012,2
291,33124,3
292,33124,4
293,33235,1
294,33346,3
295,33346,2
296,33457,4
297,33568,1
298,33568,2
299,33679,4
300,33679,3
301,33790,1
302,33790,2
303,33901,3
304,34012,4
305,34013,2
306,34124,1
307,34235,3
308,34235,4
309,34346,2
310,34457,3
311,34457,1
312,34568,4
313,34679,1
314,34679,2
315,34790,3
316,34901,4
317,34901,1
318,35012,2
319,35124,3
320,35124,4
321,35235,2
322,35235,1
323,35346,4
324,35346,3
325,35401,1
326,35457,2
327,35513,3
328,35568,1
329,35568,4
330,35679,2
331,35790,3
332,35790,4
333,35901,2
334,36012,4
335,36013,1
336,36124,3
337,36235,1
338,36235,2
339,36346,4
340,36457,3
341,36457,2
342,36568,1
343,36679,3
344,36679,4
345,36790,2
346,36901,4
347,36901,1
348,37012,2
349,37124,3
350,37124,4
351,37235,2
352,37235,1
353,37346,3
354,37346,4
355,37457,2
356,37568,1
357,37568,4
358,37679,3
359,37790,1
360,37790,2
361,37901,4
362,38012,3
363,38013,2
364,38124,1
365,38235,3
366,38235,4
367,38346,2
368,38346,1
369,38457,3
370,38457,4
371,38568,2
372,38568,1
373,38679,1
374,38679,4
375,38901,3
376,38901,4
377,39124,3
378,39124,4
379,39124,2
380,39235,1
381,39346,4
