Row Name,Timer,Line
0,20,1
1,20,3
2,407,2
3,407,4
4,794,2
5,794,3
6,1085,1
7,1085,4
8,1375,2
9,1375,3
10,1762,3
11,1762,4
12,2053,2
13,2053,1
14,2343,3
15,2343,4
16,2633,2
17,2633,3
18,2923,2
19,3117,1
20,3117,3
21,3504,4
22,3504,2
23,3891,1
24,3891,2
25,4182,3
26,4182,4
27,4472,1
28,4472,2
29,4859,3
30,4859,4
31,5053,1
32,5149,2
33,5246,3
34,5440,1
35,5440,2
36,5730,3
37,5730,4
38,6020,3
39,6020,1
40,6214,4
41,6407,3
42,6601,1
43,6601,4
44,6794,2
45,6988,4
46,7182,3
47,7278,4
48,7569,4
49,7569,1
50,7762,2
51,7956,4
52,7956,3
53,8149,1
54,8343,2
55,8536,3
56,8536,4
57,8730,2
58,8827,1
59,9117,4
60,9117,3
61,9311,1
62,9311,2
63,9504,4
64,9698,3
65,9698,2
66,9891,1
67,10085,3
68,10085,4
69,10278,1
70,10375,2
71,10665,3
72,10859,1
73,10859,4
74,11246,3
75,11246,2
76,11633,2
77,11633,3
78,12020,1
79,12020,4
80,12069,3
81,12069,2
82,12407,1
83,12407,4
84,12407,2
85,12794,1
86,12794,4
87,12794,3
88,13182,1
89,13182,4
90,13182,2
91,13472,4
92,13472,1
93,13762,2
94,13956,1
95,13956,4
96,13956,3
97,14343,1
98,14343,4
99,14343,3
100,14730,4
101,14730,2
102,14730,3
103,15020,1
104,15020,4
105,15311,2
106,15407,3
107,15504,1
108,15504,4
109,15891,1
110,15891,4
111,15891,2
112,16278,1
113,16278,4
114,16278,3
115,16569,1
116,16569,4
117,16859,3
118,17053,1
119,17053,4
120,17053,2
121,17440,2
122,17440,3
123,17440,1
124,17827,3
125,17827,4
126,18117,2
127,18117,1
128,18311,3
129,18407,2
130,18601,1
131,18601,4
132,18601,3
133,18988,1
134,18988,4
135,18988,2
136,19375,1
137,19375,4
138,19375,3
139,19665,1
140,19665,4
141,19956,2
142,20149,1
143,20149,4
144,20149,3
145,20536,1
146,20536,4
147,20536,2
148,20923,2
149,20923,3
150,20923,4
151,21214,1
152,21214,4
153,21504,2
154,21601,3
155,21698,1
156,21698,4
157,22085,1
158,22085,4
159,22085,3
160,22472,1
161,22472,4
162,22472,2
163,22762,1
164,22762,4
165,23053,1
166,23053,4
167,23246,3
168,23440,1
169,23633,4
170,23827,2
171,23923,3
172,24020,1
173,24407,2
174,24794,3
175,25182,1
176,25182,4
177,25375,2
178,25569,4
179,25859,1
180,25859,4
181,26149,3
182,26343,1
183,26730,1
184,26730,4
185,26923,2
186,27117,1
187,27117,4
188,27407,4
189,27407,1
190,27698,2
191,27891,4
192,27891,1
193,28278,1
194,28278,4
195,28472,3
196,28665,4
197,28665,1
198,28956,1
199,28956,4
200,29246,1
201,29246,3
202,29440,4
203,29827,1
204,30020,4
205,30214,1
206,30214,3
207,30601,1
208,30601,2
209,30794,4
210,30988,1
211,30988,3
212,31375,1
213,31375,4
214,31569,3
215,31762,1
216,31762,4
217,32053,1
218,32053,4
219,32343,2
220,32536,1
221,32536,4
222,32923,1
223,32923,4
224,33117,3
225,33311,1
226,33311,4
227,33601,1
228,33601,4
229,33891,1
230,34085,2
231,34085,4
232,34472,1
233,34472,4
234,34665,3
235,34859,4
236,34859,1
237,35149,1
238,35149,4
239,35440,2
240,35633,4
241,35633,1
242,36020,1
243,36020,4
244,36214,3
245,36407,1
246,36407,4
247,36698,1
248,36698,4
249,36988,3
250,36988,1
251,37182,4
252,37375,3
253,37569,2
254,38730,1
255,38923,2
256,39117,3
257,40278,4
258,40472,3
259,40665,2
260,41440,4
261,41633,1
262,41827,3
263,42214,4
264,42601,3
265,42988,3
266,43375,1
267,43375,4
268,43569,2
269,43762,4
270,43956,1
271,44149,4
272,44343,3
273,44440,1
274,44730,1
275,44923,2
276,44923,4
277,45117,1
278,45311,4
279,45504,2
280,45698,1
281,45891,3
282,45988,2
283,46472,1
284,46472,4
285,46665,2
286,46859,4
287,47053,3
288,47246,1
289,47440,4
290,47536,3
291,47827,1
292,48020,2
293,48020,4
294,48214,3
295,48407,1
296,48601,4
297,48794,1
298,48988,4
299,49085,2
300,49182,1
301,49375,3
302,49569,1
303,49569,2
304,49762,4
305,49956,2
306,50149,3
307,50343,1
308,50536,2
309,50633,4
310,50923,3
311,51117,1
312,51117,2
313,51311,4
314,51504,1
315,51698,3
316,51891,2
317,52182,1
318,52278,2
319,52665,4
320,52665,1
321,52859,3
322,53053,1
323,53246,2
324,53440,4
325,53633,1
326,53730,2
327,54020,4
328,54214,1
