Row Name,Timer,Line
0,866,4;
1,,1366;
2,2,;
3,1366,1;
4,,1866;
5,3,;
6,2366,4;
7,,2366;
8,1,;
9,2866,2;
10,,3366;
11,3,;
12,3366,4;
13,,3866;
14,2,;
15,4366,4;
16,,4366;
17,1,;
18,4866,3;
19,,5366;
20,2,;
21,5366,1;
22,,5866;
23,3,;
24,6366,4;
25,,6366;
26,1,;
27,6866,2;
28,7866,;
29,7866,3;
30,8866,;
31,8866,1;
32,,9366;
33,2,;
34,9366,4;
35,,9866;
36,3,;
37,10366,4;
38,,10366;
39,1,;
40,10866,3;
41,,11366;
42,2,;
43,11366,1;
44,,11866;
45,4,;
46,12366,3;
47,,12366;
48,1,;
49,12866,2;
50,,13366;
51,3,;
52,13366,4;
53,,13866;
54,1,;
55,14366,2;
56,,14366;
57,4,;
58,14866,3;
59,,14866;
60,4,;
61,15241,2;
62,,15241;
63,1,;
64,15616,3;
65,,15616;
66,4,;
67,16866,4;
68,,17366;
69,3,;
70,17366,1;
71,,17866;
72,2,;
73,18366,3;
74,,18366;
75,4,;
76,18866,2;
77,,19366;
78,3,;
79,19366,1;
80,,19866;
81,4,;
82,20366,1;
83,,20366;
84,2,;
85,20866,3;
86,,21366;
87,4,;
88,21366,1;
89,,21866;
90,2,;
91,22366,3;
92,,22366;
93,4,;
94,22866,1;
95,,23366;
96,2,;
97,23366,3;
98,,23866;
99,4,;
100,24366,2;
101,,24366;
102,1,;
103,24866,4;
104,,25366;
105,3,;
106,25366,1;
107,,25866;
108,2,;
109,26366,3;
110,,26366;
111,4,;
112,26866,2;
113,,27366;
114,1,;
115,27366,4;
116,,27866;
117,3,;
118,28366,2;
119,,28366;
120,1,;
121,28866,3;
122,,29366;
123,4,;
124,29366,2;
125,,29866;
126,1,;
127,30366,2;
128,,30366;
129,3,;
130,30866,4;
131,,30866;
132,3,;
133,31241,2;
134,,31241;
135,1,;
136,31616,3;
137,,31616;
138,4,;
139,32866,1;
140,,33366;
141,3,;
142,33366,4;
143,,33866;
144,2,;
145,34366,1;
146,,34366;
147,4,;
148,34866,3;
149,,35366;
150,2,;
151,35366,1;
152,,35866;
153,3,;
154,36366,1;
155,,36366;
156,4,;
157,36866,2;
158,,37366;
159,3,;
160,37366,4;
161,,37866;
162,2,;
163,38366,1;
164,,38366;
165,4,;
166,38866,3;
167,39866,;
168,39866,2;
169,40866,;
170,40866,4;
171,,41366;
172,3,;
173,41366,1;
174,,41866;
175,2,;
176,42366,1;
177,,42366;
178,4,;
179,42866,2;
180,,43366;
181,3,;
182,43366,4;
183,,43866;
184,1,;
185,44366,2;
186,,44366;
187,4,;
188,44866,3;
189,,45366;
190,2,;
191,45366,1;
192,,45866;
193,4,;
194,46366,3;
195,,46366;
196,1,;
197,46866,2;
198,,46866;
199,1,;
200,47241,3;
201,,47241;
202,4,;
203,47616,2;
204,,47616;
205,1,;
206,48866,1;
207,,49366;
208,2,;
209,49366,4;
210,,49866;
211,3,;
212,50366,2;
213,,50366;
214,1,;
215,50866,3;
216,,51366;
217,2,;
218,51366,4;
219,,51866;
220,1,;
221,52366,4;
222,,52366;
223,3,;
224,52866,2;
225,,53366;
226,1,;
227,53366,4;
228,,53866;
229,3,;
230,54366,2;
231,,54366;
232,1,;
233,54866,4;
234,,55366;
235,3,;
236,55366,2;
237,,55866;
238,1,;
239,56366,3;
240,,56366;
241,4,;
242,56866,1;
243,,57366;
244,2,;
245,57366,4;
246,,57866;
247,3,;
248,58366,2;
249,,58366;
250,1,;
251,58866,3;
252,,59366;
253,4,;
254,59366,1;
255,,59866;
256,2,;
257,60366,3;
258,,60366;
259,4,;
260,60866,2;
261,,61366;
262,1,;
263,61366,3;
264,,61866;
265,4,;
266,62366,3;
267,,62366;
268,2,;
269,62866,1;
270,,62866;
271,2,;
272,63241,3;
273,,63241;
274,4,;
275,63616,2;
276,,63616;
277,1,;
278,64866,3;
279,,64866;
280,4,;
