Row Name,Timer,Line
0,12,1
1,12,2
2,304,3
3,597,1
4,597,4
5,890,2
6,1182,3
7,1182,4
8,1475,2
9,1768,1
10,1768,4
11,2060,3
12,2353,2
13,2353,1
14,2646,2
15,2938,1
16,2938,3
17,3231,2
18,3524,3
19,3524,4
20,3816,3
21,4109,2
22,4109,4
23,4402,3
24,4694,1
25,4694,2
26,4987,4
27,5280,3
28,5280,1
29,5572,4
30,5865,1
31,5865,2
32,6158,4
33,6451,3
34,6451,1
35,6743,4
36,7036,2
37,7036,1
38,7329,2
39,7621,3
40,7621,4
41,7914,3
42,8060,2
43,8207,1
44,8207,4
45,8499,3
46,8792,1
47,8792,4
48,9085,2
49,9377,3
50,9377,4
51,9670,4
52,9963,1
53,9963,2
54,10255,1
55,10548,2
56,10548,4
57,10841,4
58,11133,3
59,11133,1
60,11426,1
61,11719,2
62,11719,3
63,12011,3
64,12304,1
65,12304,4
66,12597,1
67,12890,2
68,12890,3
69,13182,2
70,13475,1
71,13475,4
72,13768,4
73,14060,2
74,14060,1
75,14353,2
76,14646,4
77,14646,3
78,14938,3
79,15231,1
80,15231,4
81,15524,2
82,15816,3
83,15816,4
84,16109,2
85,16402,1
86,16402,4
87,16694,3
88,16987,1
89,16987,4
90,17280,2
91,17426,3
92,17572,4
93,17572,1
94,18158,4
95,18451,4
96,18451,2
97,18743,1
98,18743,4
99,18890,3
100,19036,2
101,19329,3
102,19475,1
103,19621,3
104,19768,4
105,19914,1
106,20060,2
107,20207,3
108,20353,4
109,20499,2
110,20646,1
111,20792,3
112,20938,2
113,21085,4
114,21377,4
115,21377,3
116,21670,1
117,21816,2
118,21963,1
119,22109,2
120,22255,4
121,22402,3
122,22548,2
123,22694,1
124,22841,4
125,22987,3
126,23133,1
127,23133,2
128,23426,4
129,23572,2
130,23719,3
131,23865,1
132,24011,3
133,24158,2
134,24304,4
135,24451,1
136,24597,3
137,24743,3
138,24890,2
139,25036,2
140,25182,4
141,25329,1
142,25475,4
143,25621,1
144,25768,3
145,26060,2
146,26060,1
147,26353,1
148,26499,2
149,26646,3
150,26792,4
151,26938,1
152,27085,3
153,27231,2
154,27377,4
155,27524,2
156,27670,3
157,27816,1
158,27816,2
159,28109,1
160,28109,4
161,28255,3
162,28402,2
163,28694,1
164,28841,3
165,28987,4
166,29133,2
167,29280,3
168,29426,1
169,29572,4
170,29719,2
171,29865,3
172,30011,1
173,30158,2
174,30304,3
175,30451,1
176,30743,4
177,30743,3
178,31036,4
179,31182,3
180,31329,4
181,31475,3
182,31621,2
183,31768,1
184,31914,3
185,32060,2
186,32207,3
187,32353,4
188,32499,2
189,32499,1
190,32792,4
191,32792,1
192,33085,1
193,33085,3
194,33377,1
195,33377,4
196,33670,4
197,33670,2
198,33963,3
199,33963,2
200,34255,1
201,34255,3
202,34548,4
203,34548,2
204,34841,2
205,34841,3
206,35133,4
207,35280,3
208,35426,2
209,35572,1
210,35719,4
211,35865,3
212,36011,2
213,36158,1
214,36304,4
215,36304,3
216,36597,2
217,36597,1
218,36890,3
219,37036,2
220,37182,3
221,37329,2
222,37475,4
223,37475,1
224,37768,1
225,37768,4
226,38060,1
227,38207,1
228,38353,2
229,38499,3
230,39377,1
231,39524,2
232,39670,3
233,39816,4
234,40109,4
235,40402,4
236,40548,2
237,40694,3
238,40841,4
239,40987,1
240,41426,3
241,41572,2
242,41719,1
243,41865,3
244,42011,2
245,42158,4
246,42451,4
247,42743,3
248,42890,1
249,43036,2
250,43182,3
251,43329,4
252,43475,2
253,43621,4
254,43768,2
255,44207,2
256,44353,3
257,44499,4
258,44646,2
259,44792,3
260,44938,1
261,45085,4
262,45231,3
263,45377,1
264,45524,2
265,45670,3
266,45816,1
267,45963,3
268,46109,1
269,46548,4
270,46694,3
271,46841,2
272,46841,1
273,47133,1
274,47133,2
275,47426,1
276,47572,1
277,47719,2
278,47865,3
279,48743,1
280,48890,2
281,49036,3
282,49182,4
283,49475,4
284,49768,4
285,49914,2
286,50060,3
287,50207,4
288,50353,1
289,50646,3
290,50938,2
291,51231,1
292,51524,4
293,51524,3
294,51816,4
295,52109,3
296,52255,2
297,52402,1
298,52548,2
299,52694,3
300,52694,4
301,52841,1
302,52987,3
303,53133,4
304,53426,1
305,53572,2
306,53719,3
307,53865,4
308,53865,1
309,54158,2
310,54451,1
311,54451,4
312,54743,3
313,55036,1
314,55036,2
315,55329,3
316,55329,4
317,55621,1
318,55768,2
319,55914,3
320,56060,4
321,56207,2
322,56207,1
323,56353,3
324,56499,4
325,56646,2
326,56792,1
327,56938,3
328,57085,4
329,57231,2
330,57377,1
331,57524,2
332,57670,4
333,57816,3
334,57963,1
335,58109,2
336,58255,4
337,58402,3
338,58548,2
339,58694,1
340,58841,3
341,58987,4
342,59133,2
343,59280,1
344,59426,3
345,59572,4
346,59719,1
347,59865,3
348,60011,4
349,60158,2
350,60304,1
351,60451,3
352,60597,1
353,60597,4
354,60890,1
355,60890,4
356,61036,3
357,61182,2
358,61329,4
359,61475,1
360,61621,2
361,61768,3
362,61914,1
363,62060,4
364,62207,3
365,62353,2
366,62499,4
367,62646,1
368,62792,2
369,62938,3
370,63085,1
371,63231,4
372,63377,3
373,63524,1
374,63670,2
375,63816,4
376,63963,3
377,64109,1
378,64255,2
379,64402,4
380,64548,1
381,64694,4
382,64841,1
383,64987,4
384,65133,1
385,65280,3
386,65280,4
387,65572,1
388,65865,3
389,66011,3
390,66451,2
391,66743,1
392,67036,3
393,67182,3
394,67475,1
395,67621,2
396,67768,3
397,67914,4
398,68207,2
399,68353,3
400,68792,1
401,69085,2
402,69377,4
403,69670,3
404,69816,2
405,69963,3
406,70109,1
407,70255,2
408,70548,3
409,70841,2
410,70987,3
411,71280,4
412,71572,1
413,71719,3
414,72011,2
415,72304,1
416,72597,3
417,72890,2
418,73036,3
419,73329,2
420,73475,3
421,73621,2
422,73768,4
423,73914,4
424,74207,1
425,74938,3
426,74938,4
427,75231,2
428,75524,1
