Row Name,Timer,Line
0,45,4
1,45,2
2,378,1
3,711,3
4,1045,2
5,1378,1
6,1878,1
7,2378,3
8,2711,4
9,2711,1
10,3045,2
11,3378,3
12,3711,2
13,4045,1
14,4545,1
15,5045,2
16,5378,3
17,5378,4
18,5711,1
19,6045,3
20,6378,2
21,6711,1
22,7211,1
23,7711,3
24,8045,1
25,8045,2
26,8378,3
27,8711,2
28,9045,1
29,9378,4
30,9878,2
31,10378,4
32,10711,3
33,10711,2
34,11045,1
35,11378,3
36,11711,2
37,12045,1
38,12545,1
39,13045,3
40,13378,1
41,13378,4
42,13711,2
43,14045,3
44,14378,2
45,14711,1
46,15211,1
47,15711,2
48,16045,4
49,16045,3
50,16378,1
51,16711,3
52,17045,2
53,17378,1
54,17878,1
55,18378,3
56,18711,2
57,18711,1
58,19045,3
59,19378,2
60,19711,1
61,20045,4
62,20545,2
63,21045,4
64,21378,3
65,21378,2
66,21711,1
67,22045,3
68,22378,2
69,22711,1
70,23211,1
71,23711,3
72,24045,1
73,24045,4
74,24378,2
75,24711,3
76,25045,2
77,25378,1
78,25878,1
79,26378,2
80,26711,4
81,26711,3
82,27045,1
83,27378,3
84,27711,2
85,28045,1
86,28545,1
87,29045,3
88,29378,2
89,29378,1
90,29711,3
91,30045,2
92,30378,1
93,30711,4
94,31211,2
95,31711,4
96,32045,3
97,32045,2
98,32378,1
99,32711,3
100,33045,2
101,33378,1
102,33878,1
103,34378,3
104,34711,4
105,34711,1
106,35045,2
107,35378,3
108,35711,2
109,36045,1
110,36545,1
111,37045,2
112,37378,3
113,37378,4
114,37711,1
115,38045,3
116,38378,2
117,38711,1
118,39211,1
119,39711,3
120,40045,1
121,40045,2
122,40378,3
123,40711,2
124,41045,1
125,41378,4
126,41878,2
127,42378,4
128,42711,3
129,42711,2
130,43045,1
131,43378,3
132,43711,2
133,44045,1
134,44545,1
135,45045,3
136,45378,1
137,45378,4
138,45711,2
139,46045,3
140,46378,2
141,46711,1
142,47211,1
143,47711,2
144,48045,4
145,48045,3
146,48378,1
147,48711,3
148,49045,2
149,49378,1
150,49878,1
151,50378,3
152,50711,2
153,50711,1
154,51045,3
155,51378,2
156,51711,1
157,52045,4
158,52545,2
159,53045,4
160,53378,3
161,53378,2
162,53711,1
163,54045,3
164,54378,2
165,54711,1
166,55211,1
167,55711,3
168,56045,4
169,56045,1
170,56378,2
171,56711,3
172,57045,2
173,57378,1
174,57878,1
175,58378,2
176,58711,3
177,58711,4
178,59045,1
179,59378,3
180,59711,2
181,60045,1
182,60545,1
183,61045,3
184,61378,1
185,61378,2
186,61711,3
187,62045,2
188,62378,1
189,62711,4
190,63211,2
191,63711,4
192,64045,3
193,64045,2
194,64378,1
195,64711,3
196,64711,4
197,65045,2
198,65378,1
199,65378,4
200,65878,1
201,66378,3
202,66378,4
203,66711,4
204,66711,1
205,67045,2
206,67378,3
207,67378,1
208,67711,2
209,68045,1
210,68045,4
211,68545,1
212,69045,4
213,69045,3
214,69378,3
215,69378,2
216,69711,1
217,70045,3
218,70045,4
219,70378,2
220,70711,1
221,70711,4
222,71211,1
223,71711,3
224,71711,4
225,72045,1
226,72045,2
227,72378,3
228,72711,2
229,72711,4
230,73045,1
231,73378,4
232,73378,3
233,73878,2
234,74378,4
235,74378,3
236,74711,3
237,74711,2
238,75045,1
239,75378,3
240,75378,4
241,75711,2
242,76045,1
243,76045,4
244,76545,1
245,77045,3
246,77045,4
247,77378,4
248,77378,1
249,77711,2
250,78045,3
251,78045,1
252,78378,2
253,78711,1
254,78711,4
255,79211,1
256,79711,4
257,79711,3
258,80045,3
259,80045,2
260,80378,1
261,80711,3
262,80711,4
263,81045,2
264,81378,1
265,81378,4
266,81878,1
267,82378,3
268,82378,4
269,82711,1
270,82711,2
271,83045,3
272,83378,2
273,83378,4
274,83711,1
275,84045,4
276,84045,3
277,84545,2
278,85045,4
279,85045,3
280,85378,3
281,85378,2
282,85711,1
283,86045,3
284,86045,4
285,86378,2
286,86711,1
287,86711,4
288,87211,1
289,87711,3
290,87711,4
291,88045,4
292,88045,1
293,88378,2
294,88711,3
295,88711,1
296,89045,2
297,89378,1
298,89378,4
299,89878,1
300,90378,4
301,90378,3
302,90711,3
303,90711,2
304,91045,1
305,91378,3
306,91378,4
307,91711,2
308,92045,1
309,92045,4
310,92545,1
311,93045,3
312,93045,4
313,93378,1
314,93378,2
315,93711,3
316,94045,2
317,94045,4
318,94378,1
319,94711,4
320,94711,3
321,95211,2
322,95711,4
323,95711,3
324,96045,3
325,96045,2
326,96378,1
327,96711,4
328,96711,3
329,97045,2
330,97378,4
331,97378,1
332,97878,1
333,98378,4
334,98378,3
335,98711,1
336,98711,4
337,99045,2
338,99378,1
339,99378,3
340,99711,2
341,100045,4
342,100045,1
343,100545,1
