Row Name,Timer,Line
0,450,1
1,488,2
2,525,3
3,1088,4
4,1126,3
5,1163,2
6,1725,1
7,1725,4
8,2062,2
9,2062,3
10,2287,1
11,2287,4
12,2737,1
13,2850,2
14,2962,3
15,3112,4
16,3225,3
17,3337,2
18,3525,1
19,3637,2
20,3637,3
21,3937,4
22,4275,2
23,4500,1
24,4762,3
25,5437,3
26,5437,4
27,5437,1
28,5625,2
29,5625,1
30,5625,4
31,6112,4
32,6262,3
33,6412,2
34,6562,3
35,6750,4
36,6825,2
37,6975,1
38,7162,3
39,7275,2
40,7537,4
41,7537,1
42,7837,2
43,7837,3
44,8025,4
45,8025,1
46,8250,3
47,8475,1
48,8812,3
49,9075,3
50,9075,4
51,9300,2
52,9300,1
53,9487,2
54,9600,3
55,9712,4
56,9900,1
57,10050,2
58,10200,4
59,10350,3
60,10762,3
61,10950,1
62,11100,2
63,11212,3
64,11400,4
65,11700,2
66,12262,3
67,12262,4
68,12450,1
69,12750,2
70,13200,1
71,13275,2
72,13425,3
73,13537,4
74,13537,3
75,13837,2
76,13837,3
77,14400,3
78,14775,4
79,14775,2
80,15000,1
81,15487,3
82,15712,2
83,15712,4
84,16087,3
85,16425,2
86,16537,1
87,16725,3
88,16725,2
89,17250,1
90,17362,2
91,17475,3
92,17587,4
93,18037,2
94,18187,3
95,18300,2
96,18525,3
97,18525,2
98,18525,1
99,18750,4
100,19237,3
101,19237,2
102,19687,1
103,19687,2
104,19687,4
105,20250,2
106,20250,3
107,20662,3
108,20662,1
109,20662,4
110,20850,2
111,21300,2
112,21300,3
113,21900,2
114,22162,4
115,22725,4
116,22725,1
117,23175,1
118,23175,3
119,23662,1
120,23662,2
121,23662,4
122,24300,2
123,24525,1
124,24750,2
125,24750,3
126,24975,4
127,25125,2
128,25125,3
129,25387,1
130,25500,2
131,25612,3
132,25837,3
133,25837,4
134,25987,2
135,26137,3
136,26212,2
137,26437,4
138,26475,2
139,26512,1
140,27037,2
141,27187,1
142,27337,3
143,27487,4
144,27675,3
145,27750,2
146,27825,1
147,28050,2
148,28050,3
149,28200,3
150,28200,4
151,28425,1
152,28425,2
153,29062,1
154,29062,2
155,29062,4
156,29550,1
157,29550,3
158,29550,4
159,30075,3
160,30075,4
161,30262,2
162,30450,3
163,30637,2
164,30637,1
165,31087,1
166,31087,2
167,31275,3
168,31462,2
169,31687,3
170,31687,4
171,32137,3
172,32325,4
173,32512,2
174,32700,1
175,32887,1
176,33000,2
177,33112,4
178,33600,1
179,33600,3
180,34125,2
181,34537,3
182,34912,4
183,35475,2
184,35775,3
185,35925,1
186,36037,2
187,36412,1
188,36562,3
189,36675,2
190,36862,4
191,37087,2
192,37200,1
193,37312,3
194,37612,2
195,37612,3
196,38062,1
197,38062,4
198,38587,3
199,38700,1
200,38925,1
201,39037,2
202,39112,3
203,39225,2
204,39450,3
205,39450,4
206,40162,4
207,40350,3
208,40500,2
209,40575,3
210,40800,2
211,40800,1
212,41325,3
213,41700,1
214,41700,2
215,41850,4
216,42037,3
217,42562,2
218,42862,4
219,43312,3
220,43500,2
221,43725,1
222,44325,4
223,44887,2
224,45000,1
225,45150,2
226,45225,3
227,45375,2
228,45562,1
229,45712,2
230,45900,3
231,46350,3
232,46462,2
233,46725,1
234,46987,3
235,47250,1
236,47250,4
237,47775,2
238,48225,3
239,48787,4
240,48900,4
241,49125,2
242,49462,3
243,49462,4
244,49650,3
245,49762,2
246,49987,2
247,49987,1
248,50512,1
249,50512,2
250,50512,4
251,50512,3
252,50700,2
253,50700,1
254,50700,4
255,51112,3
256,51112,4
257,51300,2
258,51300,1
259,51487,2
260,51487,3
261,51675,1
262,51675,3
263,51675,4
264,51862,2
265,52087,3
266,52200,2
267,52312,1
268,52762,3
269,52762,2
270,53100,3
271,53137,1
272,53475,2
273,53512,3
274,53550,4
275,53925,2
276,53925,3
277,54187,3
278,54300,2
279,54375,1
280,54562,2
281,54562,3
282,54825,3
283,54825,4
284,55087,1
285,55275,1
286,55350,3
287,55350,4
288,55650,3
289,55912,2
290,55912,3
291,56025,3
292,56025,4
293,56325,1
294,56325,2
295,56737,1
296,56737,2
297,56737,3
298,56737,4
